torch.Size([64, 1, 32, 32])
torch.Size([64])

 Hidden Layer = [512, 8] Model Accuracy = 0.9101123595505618

 Hidden Layer = [512, 16] Model Accuracy = 0.9325842696629213

 Hidden Layer = [512, 32] Model Accuracy = 0.949438202247191

 Hidden Layer = [512, 64] Model Accuracy = 0.9550561797752809

 Hidden Layer = [512, 128] Model Accuracy = 0.949438202247191

 Hidden Layer = [512, 256] Model Accuracy = 0.9606741573033708

 Hidden Layer = [512, 512] Model Accuracy = 0.949438202247191


Best model :: Hidden Layer = [256, 64] Model Accuracy = 0.9662921348314607
